learner_id,region,course_id,last_login_days,assignment_completion_rate,quiz_score_trend,attendance_rate
L11919,Egypt,CRS-012,38.9,0.827,6.8,0.707
L15379,Egypt,CRS-001,1.8,0.923,4.6,0.606
L14012,South Africa,CRS-009,0.7,0.886,-2.2,0.664
L13021,Egypt,CRS-005,16.0,0.717,-6.7,0.572
L13977,South Africa,CRS-003,1.1,0.778,-25.8,0.697
L12824,South Africa,CRS-005,0.8,0.447,-8.4,0.670
L12525,Egypt,CRS-009,1.0,0.774,-5.5,0.917
L11254,South Africa,CRS-009,9.0,0.872,-1.2,0.813
L12163,South Africa,CRS-009,20.8,0.916,11.1,0.566
L13006,South Africa,CRS-013,4.7,0.871,-9.5,0.517
L10079,Egypt,CRS-013,2.7,0.772,10.8,0.498
L11357,South Africa,CRS-004,1.1,0.566,4.4,0.632
L11606,South Africa,CRS-015,10.6,0.631,-18.7,0.849
L12049,Egypt,CRS-014,1.7,0.684,4.5,0.554
L10065,Egypt,CRS-002,7.4,0.777,10.8,0.268
L15070,Egypt,CRS-011,13.4,0.928,-47.2,0.805
L13201,South Africa,CRS-006,12.7,0.620,-6.5,0.822
L10208,Egypt,CRS-002,1.5,0.554,-16.7,0.903
L10468,Egypt,CRS-005,16.4,0.871,-11.1,0.189
L14159,South Africa,CRS-005,20.8,0.654,5.0,0.720
L12756,Egypt,CRS-014,10.5,0.459,8.3,0.728
L14964,Egypt,CRS-007,20.9,0.912,-3.8,0.901
L11813,Egypt,CRS-014,3.3,0.617,-18.5,0.758
L10344,South Africa,CRS-012,0.5,0.773,10.9,0.303
L13521,South Africa,CRS-004,1.5,0.568,9.1,0.654
L11840,Egypt,CRS-004,20.5,0.583,0.0,0.941
L10232,Egypt,CRS-015,7.4,0.900,25.3,0.271
L12705,South Africa,CRS-002,9.9,0.714,3.2,0.505
L14436,Egypt,CRS-003,25.4,0.838,10.5,0.734
L13862,Egypt,CRS-011,4.0,0.304,-3.6,0.698
L12498,South Africa,CRS-002,10.9,0.803,-11.6,0.622
L10835,South Africa,CRS-005,22.1,0.350,6.9,0.604
L13174,South Africa,CRS-005,2.1,0.762,-8.6,0.678
L11080,South Africa,CRS-008,2.3,0.867,-6.5,0.118
L13314,Egypt,CRS-005,6.0,0.696,-3.7,0.639
L14221,South Africa,CRS-012,5.8,0.768,8.0,0.770
L13581,South Africa,CRS-001,9.0,0.830,2.5,0.585
L11046,South Africa,CRS-012,10.9,0.314,-6.1,0.739
L12630,Egypt,CRS-014,4.6,0.766,-19.4,0.641
L13996,South Africa,CRS-015,3.8,0.732,-17.7,0.803
L13293,South Africa,CRS-006,2.3,0.945,5.5,0.122
L14308,South Africa,CRS-006,37.9,0.859,12.1,0.783
L12313,Egypt,CRS-013,0.6,0.683,-10.3,0.639
L10560,Egypt,CRS-009,7.7,0.689,-13.8,0.420
L11909,South Africa,CRS-012,6.1,0.891,10.0,0.674
L12909,Egypt,CRS-013,9.2,0.775,0.8,0.761
L13287,South Africa,CRS-001,23.4,0.844,-20.3,0.936
